111080.2,1,-3961877.186,3348960.851,3698236.993,-0.020823,0.020108,0.036202
111080.4,1,-3961877.185,3348960.85,3698236.994,0.01008,-0.04658,0.019722
111080.6,1,-3961877.185,3348960.85,3698236.994,0.018879,-0.010857,0.014011
111080.8,1,-3961877.185,3348960.85,3698236.992,0.017378,-0.082619,-0.012083
111081,1,-3961877.186,3348960.852,3698236.995,-0.028462,-0.032317,0.030696
111081.2,1,-3961877.185,3348960.853,3698236.996,-0.010085,0.038662,0.033778
111081.4,1,-3961877.187,3348960.852,3698236.994,-0.011653,-0.021896,-0.004624
111081.6,1,-3961877.183,3348960.851,3698236.99,0.052387,-0.052977,-0.117858
111081.8,1,-3961877.183,3348960.853,3698236.991,0.025701,0.040054,-0.023806
111082,1,-3961877.185,3348960.853,3698236.994,-0.004249,-0.000954,0.000879
111082.2,1,-3961877.185,3348960.854,3698236.994,0.051131,-0.034741,-0.03583
111082.4,1,-3961877.186,3348960.854,3698236.993,0.030187,-0.029498,-0.0371
111082.6,1,-3961877.185,3348960.851,3698236.992,0.013685,-0.023878,-0.038867
111082.8,1,-3961877.187,3348960.855,3698236.996,-0.013314,0.000083,0.021909
111083,1,-3961877.186,3348960.851,3698236.993,-0.02598,0.01818,0.014759
111083.2,1,-3961877.186,3348960.852,3698236.993,-0.004497,-0.009949,0.020014
111083.4,1,-3961877.186,3348960.851,3698236.993,-0.023228,0.039382,0.063691
111083.6,1,-3961877.186,3348960.851,3698236.992,-0.003043,0.025421,0.013093
111083.8,1,-3961877.185,3348960.848,3698236.992,0.032502,-0.042495,-0.017531
111084,1,-3961877.185,3348960.848,3698236.992,0.002269,0.017245,0.005201
111084.2,1,-3961877.186,3348960.85,3698236.993,-0.019242,-0.034508,0.004517
111084.4,1,-3961877.185,3348960.848,3698236.993,0.014563,-0.050775,-0.008472
111084.6,1,-3961877.186,3348960.847,3698236.993,0.000423,-0.022459,0.009631
111084.8,1,-3961877.185,3348960.85,3698236.992,-0.018239,0.020607,0.017465
111085,1,-3961877.182,3348960.85,3698236.992,0.026789,-0.026394,0.007274
111085.2,1,-3961877.183,3348960.851,3698236.993,0.004407,-0.009997,0.021483
111085.4,1,-3961877.184,3348960.851,3698236.99,-0.037134,0.0391,0.017997
111085.6,1,-3961877.181,3348960.849,3698236.99,0.014042,-0.00413,-0.010297
111085.8,1,-3961877.182,3348960.853,3698236.991,0.006425,0.024563,0.032423
111086,1,-3961877.185,3348960.852,3698236.992,-0.034015,0.066385,0.003476
