Index,GPS time,X,Y,Z,VX
106,2147:193522.200,-3961780.070,3349008.887,3698296.889,
107,2147:193522.400,-3961780.084,3349008.841,3698296.933,
108,2147:193522.600,-3961780.106,3349008.772,3698296.972,
109,2147:193522.800,-3961780.110,3349008.700,3698297.018,
110,2147:193523.000,-3961780.122,3349008.624,3698297.081,
111,2147:193523.200,-3961780.135,3349008.531,3698297.149,
112,2147:193523.400,-3961780.144,3349008.423,3698297.212,
113,2147:193523.600,-3961780.166,3349008.318,3698297.296,
114,2147:193523.800,-3961780.178,3349008.199,3698297.385,
115,2147:193524.000,-3961780.205,3349008.080,3698297.478,
116,2147:193524.200,-3961780.209,3349007.924,3698297.594,
117,2147:193524.400,-3961780.237,3349007.792,3698297.718,
118,2147:193524.600,-3961780.246,3349007.634,3698297.843,
119,2147:193524.800,-3961780.270,3349007.481,3698297.953,
120,2147:193525.000,-3961780.311,3349007.328,3698298.082,
121,2147:193525.200,-3961780.317,3349007.159,3698298.222,
122,2147:193525.400,-3961780.337,3349007.023,3698298.328,
123,2147:193525.600,-3961780.340,3349006.866,3698298.452,
124,2147:193525.800,-3961780.347,3349006.709,3698298.569,
125,2147:193526.000,-3961780.366,3349006.573,3698298.676,
126,2147:193526.200,-3961780.384,3349006.470,3698298.776,
127,2147:193526.400,-3961780.392,3349006.340,3698298.845,
128,2147:193526.600,-3961780.405,3349006.232,3698298.929,
129,2147:193526.800,-3961780.415,3349006.135,3698299.040,
130,2147:193527.000,-3961780.415,3349006.005,3698299.142,
131,2147:193527.200,-3961780.423,3349005.881,3698299.250,
132,2147:193527.400,-3961780.431,3349005.766,3698299.368,
133,2147:193527.600,-3961780.436,3349005.620,3698299.481,
134,2147:193527.800,-3961780.452,3349005.475,3698299.602,
135,2147:193528.000,-3961780.458,3349005.329,3698299.718,
136,2147:193528.200,-3961780.475,3349005.180,3698299.825,
137,2147:193528.400,-3961780.501,3349005.036,3698299.941,
138,2147:193528.600,-3961780.521,3349004.887,3698300.056,
139,2147:193528.800,-3961780.563,3349004.745,3698300.152,
140,2147:193529.000,-3961780.591,3349004.610,3698300.250,
141,2147:193529.200,-3961780.621,3349004.489,3698300.343,
142,2147:193529.400,-3961780.651,3349004.377,3698300.424,
143,2147:193529.600,-3961780.665,3349004.255,3698300.493,
144,2147:193529.800,-3961780.699,3349004.151,3698300.571,
145,2147:193530.000,-3961780.731,3349004.043,3698300.639,
146,2147:193530.200,-3961780.768,3349003.934,3698300.684,
147,2147:193530.400,-3961780.799,3349003.827,3698300.747,
148,2147:193530.600,-3961780.838,3349003.719,3698300.795,
149,2147:193530.800,-3961780.882,3349003.612,3698300.837,
150,2147:193531.000,-3961780.925,3349003.513,3698300.884,
151,2147:193531.200,-3961780.977,3349003.413,3698300.948,
152,2147:193531.400,-3961781.015,3349003.303,3698300.976,
153,2147:193531.600,-3961781.062,3349003.202,3698301.025,
154,2147:193531.800,-3961781.108,3349003.109,3698301.047,
155,2147:193532.000,-3961781.149,3349003.011,3698301.076,
156,2147:193532.200,-3961781.203,3349002.940,3698301.115,
157,2147:193532.400,-3961781.248,3349002.852,3698301.119,
158,2147:193532.600,-3961781.283,3349002.770,3698301.141,
159,2147:193532.800,-3961781.330,3349002.699,3698301.167,
160,2147:193533.000,-3961781.362,3349002.623,3698301.188,
161,2147:193533.200,-3961781.383,3349002.579,3698301.190,
162,2147:193533.400,-3961781.387,3349002.584,3698301.190,
163,2147:193533.600,-3961781.386,3349002.600,3698301.188,
164,2147:193533.800,-3961781.392,3349002.591,3698301.185,
165,2147:193534.000,-3961781.386,3349002.592,3698301.189,
166,2147:193534.200,-3961781.386,3349002.593,3698301.187,
167,2147:193534.400,-3961781.384,3349002.598,3698301.185,
168,2147:193534.600,-3961781.374,3349002.609,3698301.189,
169,2147:193534.800,-3961781.351,3349002.641,3698301.191,
170,2147:193535.000,-3961781.320,3349002.701,3698301.183,
171,2147:193535.200,-3961781.266,3349002.763,3698301.179,
172,2147:193535.400,-3961781.211,3349002.854,3698301.181,
173,2147:193535.600,-3961781.123,3349002.944,3698301.189,
174,2147:193535.800,-3961781.034,3349003.050,3698301.210,
175,2147:193536.000,-3961780.922,3349003.154,3698301.224,
176,2147:193536.200,-3961780.798,3349003.281,3698301.236,
177,2147:193536.400,-3961780.653,3349003.396,3698301.273,
178,2147:193536.600,-3961780.500,3349003.510,3698301.323,
179,2147:193536.800,-3961780.343,3349003.632,3698301.402,
180,2147:193537.000,-3961780.166,3349003.750,3698301.475,
181,2147:193537.200,-3961779.998,3349003.876,3698301.561,
182,2147:193537.400,-3961779.795,3349003.981,3698301.648,
183,2147:193537.600,-3961779.595,3349004.093,3698301.756,
184,2147:193537.800,-3961779.396,3349004.212,3698301.865,
185,2147:193538.000,-3961779.179,3349004.307,3698301.998,
186,2147:193538.200,-3961778.969,3349004.406,3698302.131,
187,2147:193538.400,-3961778.758,3349004.504,3698302.295,
188,2147:193538.600,-3961778.541,3349004.574,3698302.447,
189,2147:193538.800,-3961778.312,3349004.640,3698302.612,
190,2147:193539.000,-3961778.088,3349004.713,3698302.792,
191,2147:193539.200,-3961777.864,3349004.773,3698302.974,
192,2147:193539.400,-3961777.621,3349004.832,3698303.169,
193,2147:193539.600,-3961777.399,3349004.905,3698303.368,
194,2147:193539.800,-3961777.160,3349004.982,3698303.565,
195,2147:193540.000,-3961776.894,3349005.056,3698303.794,
196,2147:193540.200,-3961776.591,3349005.119,3698304.038,
197,2147:193540.400,-3961776.268,3349005.200,3698304.309,
198,2147:193540.600,-3961775.927,3349005.282,3698304.571,
199,2147:193540.800,-3961775.599,3349005.374,3698304.839,
200,2147:193541.000,-3961775.274,3349005.499,3698305.131,
201,2147:193541.200,-3961774.917,3349005.582,3698305.374,
202,2147:193541.400,-3961774.580,3349005.703,3698305.645,
203,2147:193541.600,-3961774.235,3349005.815,3698305.905,
204,2147:193541.800,-3961773.894,3349005.915,3698306.143,
205,2147:193542.000,-3961773.564,3349006.041,3698306.399,
206,2147:193542.200,-3961773.241,3349006.173,3698306.666,
207,2147:193542.400,-3961772.919,3349006.298,3698306.900,
208,2147:193542.600,-3961772.591,3349006.409,3698307.134,
209,2147:193542.800,-3961772.261,3349006.522,3698307.373,
210,2147:193543.000,-3961771.938,3349006.656,3698307.599,
211,2147:193543.200,-3961771.624,3349006.777,3698307.836,
212,2147:193543.400,-3961771.315,3349006.886,3698308.053,
213,2147:193543.600,-3961771.011,3349006.999,3698308.276,
214,2147:193543.800,-3961770.703,3349007.098,3698308.493,
215,2147:193544.000,-3961770.409,3349007.221,3698308.722,
216,2147:193544.200,-3961770.101,3349007.326,3698308.942,
217,2147:193544.400,-3961769.794,3349007.437,3698309.176,
218,2147:193544.600,-3961769.484,3349007.538,3698309.400,
219,2147:193544.800,-3961769.170,3349007.645,3698309.634,
220,2147:193545.000,-3961768.855,3349007.746,3698309.866,
221,2147:193545.200,-3961768.533,3349007.862,3698310.113,
222,2147:193545.400,-3961768.197,3349007.982,3698310.365,
223,2147:193545.600,-3961767.841,3349008.105,3698310.631,
224,2147:193545.800,-3961767.464,3349008.230,3698310.920,
225,2147:193546.000,-3961767.067,3349008.360,3698311.220,
226,2147:193546.200,-3961766.653,3349008.500,3698311.533,
227,2147:193546.400,-3961766.217,3349008.638,3698311.864,
228,2147:193546.600,-3961765.766,3349008.775,3698312.200,
229,2147:193546.800,-3961765.309,3349008.924,3698312.552,
230,2147:193547.000,-3961764.833,3349009.080,3698312.916,
231,2147:193547.200,-3961764.347,3349009.242,3698313.287,
232,2147:193547.400,-3961763.847,3349009.401,3698313.662,
233,2147:193547.600,-3961763.356,3349009.578,3698314.055,
234,2147:193547.800,-3961762.843,3349009.749,3698314.438,
235,2147:193548.000,-3961762.315,3349009.917,3698314.832,
236,2147:193548.200,-3961761.778,3349010.106,3698315.245,
237,2147:193548.400,-3961761.243,3349010.290,3698315.669,
238,2147:193548.600,-3961760.701,3349010.469,3698316.093,
239,2147:193548.800,-3961760.151,3349010.655,3698316.516,
240,2147:193549.000,-3961759.585,3349010.849,3698316.939,
241,2147:193549.200,-3961759.014,3349011.043,3698317.381,
242,2147:193549.400,-3961758.434,3349011.234,3698317.824,
243,2147:193549.600,-3961757.841,3349011.425,3698318.271,
244,2147:193549.800,-3961757.251,3349011.628,3698318.724,
245,2147:193550.000,-3961756.647,3349011.825,3698319.187,
246,2147:193550.200,-3961756.038,3349012.024,3698319.653,
247,2147:193550.400,-3961755.426,3349012.215,3698320.120,
248,2147:193550.600,-3961754.809,3349012.394,3698320.599,
249,2147:193550.800,-3961754.210,3349012.586,3698321.055,
250,2147:193551.000,-3961753.621,3349012.807,3698321.503,
251,2147:193551.200,-3961753.023,3349013.009,3698321.960,
252,2147:193551.400,-3961752.432,3349013.183,3698322.416,
253,2147:193551.600,-3961751.834,3349013.395,3698322.880,
254,2147:193551.800,-3961751.240,3349013.608,3698323.328,
255,2147:193552.000,-3961750.659,3349013.786,3698323.766,
256,2147:193552.200,-3961750.100,3349013.985,3698324.219,
257,2147:193552.400,-3961749.554,3349014.149,3698324.619,
258,2147:193552.600,-3961749.046,3349014.302,3698324.986,
259,2147:193552.800,-3961748.560,3349014.454,3698325.364,
260,2147:193553.000,-3961748.100,3349014.609,3698325.732,
261,2147:193553.200,-3961747.668,3349014.770,3698326.071,
262,2147:193553.400,-3961747.258,3349014.904,3698326.396,
263,2147:193553.600,-3961746.857,3349015.026,3698326.714,
264,2147:193553.800,-3961746.474,3349015.134,3698327.010,
265,2147:193554.000,-3961746.109,3349015.247,3698327.288,
266,2147:193554.200,-3961745.769,3349015.363,3698327.559,
267,2147:193554.400,-3961745.456,3349015.457,3698327.808,
268,2147:193554.600,-3961745.162,3349015.549,3698328.048,
269,2147:193554.800,-3961744.884,3349015.632,3698328.268,
270,2147:193555.000,-3961744.622,3349015.712,3698328.462,
271,2147:193555.200,-3961744.385,3349015.793,3698328.650,
272,2147:193555.400,-3961744.167,3349015.872,3698328.823,
273,2147:193555.600,-3961743.968,3349015.931,3698328.988,
274,2147:193555.800,-3961743.780,3349015.991,3698329.140,
275,2147:193556.000,-3961743.591,3349016.053,3698329.296,
276,2147:193556.200,-3961743.400,3349016.115,3698329.445,
277,2147:193556.400,-3961743.211,3349016.167,3698329.593,
278,2147:193556.600,-3961743.015,3349016.219,3698329.744,
279,2147:193556.800,-3961742.834,3349016.285,3698329.894,
280,2147:193557.000,-3961742.729,3349016.345,3698330.022,
281,2147:193557.200,-3961742.593,3349016.398,3698330.136,
282,2147:193557.400,-3961742.403,3349016.447,3698330.259,
283,2147:193557.600,-3961742.183,3349016.489,3698330.395,
284,2147:193557.800,-3961742.039,3349016.535,3698330.544,
285,2147:193558.000,-3961741.858,3349016.584,3698330.677,
286,2147:193558.200,-3961741.691,3349016.645,3698330.801,
287,2147:193558.400,-3961741.519,3349016.704,3698330.947,
288,2147:193558.600,-3961741.346,3349016.760,3698331.083,
289,2147:193558.800,-3961741.164,3349016.807,3698331.230,
290,2147:193559.000,-3961740.977,3349016.856,3698331.379,
291,2147:193559.200,-3961740.796,3349016.913,3698331.544,
292,2147:193559.400,-3961740.650,3349016.979,3698331.712,
293,2147:193559.600,-3961740.460,3349017.024,3698331.833,
294,2147:193559.800,-3961740.183,3349017.071,3698332.018,
295,2147:193560.000,-3961739.861,3349017.160,3698332.336,
296,2147:193560.200,-3961739.553,3349017.264,3698332.610,
297,2147:193560.400,-3961739.229,3349017.360,3698332.865,
298,2147:193560.600,-3961738.882,3349017.461,3698333.149,
299,2147:193560.800,-3961738.544,3349017.553,3698333.439,
300,2147:193561.000,-3961738.196,3349017.639,3698333.724,
301,2147:193561.200,-3961737.830,3349017.747,3698334.057,
302,2147:193561.400,-3961737.434,3349017.853,3698334.409,
303,2147:193561.600,-3961737.015,3349017.967,3698334.782,
304,2147:193561.800,-3961736.575,3349018.069,3698335.159,
305,2147:193562.000,-3961736.125,3349018.175,3698335.564,
306,2147:193562.200,-3961735.670,3349018.280,3698335.988,
307,2147:193562.400,-3961735.201,3349018.382,3698336.422,
308,2147:193562.600,-3961734.726,3349018.464,3698336.865,
309,2147:193562.800,-3961734.257,3349018.533,3698337.312,
310,2147:193563.000,-3961733.789,3349018.594,3698337.761,
311,2147:193563.200,-3961733.331,3349018.649,3698338.204,
312,2147:193563.400,-3961732.880,3349018.689,3698338.645,
313,2147:193563.600,-3961732.441,3349018.710,3698339.094,
314,2147:193563.800,-3961732.008,3349018.725,3698339.536,
315,2147:193564.000,-3961731.574,3349018.726,3698339.977,
316,2147:193564.200,-3961731.150,3349018.741,3698340.430,
317,2147:193564.400,-3961730.715,3349018.716,3698340.886,
318,2147:193564.600,-3961730.288,3349018.699,3698341.361,
319,2147:193564.800,-3961729.835,3349018.685,3698341.843,
320,2147:193565.000,-3961729.370,3349018.648,3698342.347,
321,2147:193565.200,-3961728.901,3349018.606,3698342.879,
322,2147:193565.400,-3961728.427,3349018.565,3698343.422,
323,2147:193565.600,-3961727.953,3349018.495,3698343.963,
324,2147:193565.800,-3961727.509,3349018.405,3698344.514,
325,2147:193566.000,-3961727.066,3349018.287,3698345.070,
326,2147:193566.200,-3961726.652,3349018.163,3698345.644,
327,2147:193566.400,-3961726.256,3349018.004,3698346.221,
328,2147:193566.600,-3961725.890,3349017.801,3698346.796,
