284042.2,-3961766.053,3349008.933,3698311.021,0.061084,-0.047139,0.013919,-3961766.391,3349008.291,3698310.039,-0.004465597,-0.004208701,0.002580728,-0.000256829,0.003699658,134.9990572,0,0,0,0,0,0,0.07279065,-0.078855587,-9.789446401,0.078403309,0
284042.4,-3961766.054,3349008.932,3698311.02,-0.044584,0.021464,-0.025761,-3961766.074,3349008.866,3698310.939,-0.014892998,-0.095817686,-0.023080205,-0.731511012,-2.952487414,135.0176861,-6.38E-05,1.36E-05,-0.000353148,0,0,0,-0.250196072,0.041871433,-9.81082339,0.05578589,0
284042.6,-3961766.053,3349008.934,3698311.021,-0.006523,0.008326,-0.018952,-3961766.081,3349008.908,3698310.968,-0.085733807,0.061074909,-0.092748595,1.879175824,-2.708909489,135.0948858,0.000126659,-7.57E-05,0.006881436,-1.13E-08,-1.75E-09,-2.79E-10,-0.11417974,0.028779998,-9.78483876,0.021703689,0
284042.8,-3961766.052,3349008.932,3698311.023,-0.00056,-0.01372,0.013915,-3961766.071,3349008.918,3698310.981,-0.007295581,0.029447025,-0.024395524,0.714435032,-1.62036902,140.7169826,0.000126665,-4.03E-05,0.003178218,1.60E-07,-1.81E-07,-1.74E-08,-0.261410453,-0.093780382,-9.826805763,0.019549405,0
284043,-3961766.046,3349008.937,3698311.029,0.028789,0.046631,0.054085,-3961766.065,3349008.919,3698310.996,0.007072051,-0.001181163,0.029399223,0.116044115,-1.494357392,144.3816657,0.000447843,-0.000143713,0.002615508,4.23E-07,-2.49E-07,-3.44E-08,-0.32601577,-0.010589236,-9.832002198,0.076996389,0
284043.2,-3961766.029,3349008.942,3698311.04,0.104182,0.016866,0.090802,-3961766.054,3349008.936,3698311.017,0.040518247,0.06708647,0.071427571,0.399941144,-1.227270136,141.4125985,0.000302185,-0.000538656,0.00490345,2.44E-07,-5.56E-07,-1.54E-08,-0.284911816,-0.099651982,-9.821020235,0.139224115,0
284043.4,-3961766.003,3349008.95,3698311.059,0.188298,0.026399,0.115006,-3961766.025,3349008.939,3698311.04,0.107260948,0.032328533,0.102458147,0.178680804,-0.963065101,142.5240212,0.00030631,-0.000736093,6.65E-05,5.89E-07,-1.04E-06,-2.44E-08,-0.137836727,-0.05340241,-9.825431851,0.222214815,0
284043.6,-3961765.967,3349008.958,3698311.086,0.151336,0.038394,0.103695,-3961765.976,3349008.946,3698311.067,0.187778707,0.033072474,0.117755705,0.261245947,-0.625425552,141.4289329,0.00029395,-0.001055834,-0.003925139,5.42E-07,-1.84E-06,-1.21E-08,-0.093772044,-0.119968459,-9.829298426,0.187428219,0
284043.8,-3961765.925,3349008.976,3698311.117,0.232865,0.110862,0.170392,-3961765.949,3349008.957,3698311.089,0.16290275,0.051230732,0.11208936,0.288354518,-0.769178174,142.2817796,0.000250023,-0.000963846,-0.002565792,4.69E-07,-1.34E-06,-2.06E-08,-0.347905776,-0.01481584,-9.75749159,0.309111509,0
284044,-3961765.879,3349008.989,3698311.149,0.190379,0.09234,0.152793,-3961765.889,3349008.987,3698311.137,0.337443429,0.151493564,0.268860055,0.414837133,-0.427452163,140.2062464,0.00040361,-0.001321787,-0.000706029,-2.80E-08,-2.99E-06,1.16E-08,-1.117768263,-0.051555403,-9.846082498,0.260991456,0
