284815.0003,12,-0.841468,-0.602645,0.015881,0.894484,2.191294,235.390404,234.390389
284815.2003,13,-0.858863,-0.59091,0.014478,0.843956,1.931934,236.309066,235.47147
284815.4003,20,-0.856744,-0.570843,0.002617,0.663799,1.161371,237.104412,236.324737
284815.6003,20,-0.864724,-0.570373,0.017854,0.671709,1.172392,237.887617,236.591118
284815.8003,20,-0.875179,-0.570387,-0.030735,0.671711,1.17238,238.512054,236.906207
284816.0003,20,-0.884838,-0.5467,-0.030724,0.663806,1.161333,239.088293,238.290018
284816.2003,19,-0.878359,-0.546618,0.002066,0.689183,1.162468,239.596211,238.105279
284816.4003,18,-0.881725,-0.536765,-0.018495,0.686465,1.107151,239.725855,238.668357
284816.6003,19,-0.87756,-0.535783,-0.009208,0.658762,1.107125,239.970487,238.594393
284816.8003,15,-0.885512,-0.533895,-0.014493,0.625617,1.105547,239.899483,238.913285
284817.0003,19,-0.883317,-0.55173,-0.011032,0.647176,1.105949,239.844086,238.010622
284817.2003,20,-0.900497,-0.523417,-0.006662,0.625618,1.10551,239.862207,239.832537
284817.4003,16,-0.874776,-0.545759,0.009083,0.692451,1.181302,239.937604,238.040607
284817.6003,17,-0.889979,-0.542452,0.017775,0.687576,1.18062,239.925488,238.637229
284817.8003,17,-0.873671,-0.545036,0.004267,0.687573,1.180596,239.937396,238.042212
284818.0003,17,-0.89026,-0.536339,0.003238,0.687571,1.180573,239.97022,238.933034
284818.2003,18,-0.897135,-0.531923,0.020664,0.650709,1.109902,239.949537,239.335738
284818.4003,18,-0.876304,-0.535307,0.003318,0.650707,1.10988,239.958622,238.58052
284818.6003,18,-0.897792,-0.531228,0.019912,0.650705,1.109858,239.99235,239.386989
284818.8003,18,-0.885897,-0.537464,0.017832,0.650703,1.109836,239.9977,238.755287
284819.0003,18,-0.880922,-0.538974,0.011649,0.650702,1.109814,239.991405,238.540457
284819.2003,18,-0.885383,-0.537903,0.02142,0.6507,1.109792,239.971303,238.719785
284819.4003,18,-0.88707,-0.541728,0.004941,0.650698,1.10977,239.948007,238.587836
284819.6003,18,-0.893869,-0.535086,0.007967,0.650696,1.109749,239.902764,239.094511
284819.8003,18,-0.887153,-0.540113,0.018165,0.650694,1.109727,239.828091,238.666257
284820.0003,18,-0.879043,-0.5415,0.014265,0.675119,1.131217,239.798535,238.366483
284820.2003,18,-0.884335,-0.536042,0.022547,0.681522,1.125921,239.739838,238.777716
284820.4003,15,-0.882768,-0.52613,0.033442,0.985776,1.292966,239.682641,239.205044
284820.6003,14,-0.878556,-0.533061,-0.010345,1.082161,1.294272,239.663827,238.752836
284820.8003,17,-0.888706,-0.539513,0.045746,0.836863,1.131288,239.497474,238.739024
284821.2003,16,-0.892656,-0.548893,0.042855,0.807284,1.134931,239.342723,238.412704
284821.4003,15,-0.865488,-0.554073,-0.01355,0.832779,1.160937,239.294491,237.373238
284821.6003,15,-0.878871,-0.546373,0.016954,0.83277,1.160916,239.246571,238.131782
284821.8003,15,-0.878137,-0.549615,0.01384,0.832761,1.160895,239.205719,237.958093
284822.4003,15,-0.88266,-0.540793,0.030996,0.775933,1.135277,239.022982,238.504815
284822.6003,13,-0.875485,-0.558095,0.003136,0.8853,1.246477,238.96523,237.483706
284822.8003,14,-0.874104,-0.55928,0.01252,0.84393,1.246432,238.879601,237.38758
284823.0003,15,-0.877655,-0.557092,0.018652,0.775912,1.135213,238.79911,237.594627
284823.2003,15,-0.872609,-0.553439,0.007865,0.775905,1.135192,238.704135,237.615719
284823.4003,15,-0.879651,-0.562239,0.006875,0.775898,1.135171,238.614638,237.414873
284823.6003,15,-0.876356,-0.556157,0.011472,0.775891,1.135149,238.515906,237.599766
284823.8003,15,-0.864711,-0.563179,0.017652,0.775884,1.135128,238.412537,236.924136
284824.0003,15,-0.874363,-0.569393,0.006742,0.775877,1.135107,238.312162,236.927461
284824.2003,16,-0.8752,-0.568443,-0.010526,0.728441,1.132244,238.198124,236.996258
284824.4003,16,-0.871269,-0.564524,0.024144,0.728438,1.132221,238.043079,237.059453
284824.6003,16,-0.856723,-0.579081,0.030273,0.728434,1.132198,237.98785,235.944215
284824.8003,17,-0.869021,-0.571673,0.030212,0.743514,1.145656,237.853326,236.661652
284825.0003,17,-0.86184,-0.573146,-0.001617,0.703274,1.114964,237.747515,236.375049
284825.2003,15,-0.864633,-0.589509,-0.028509,0.803942,1.158823,237.689941,235.713761
284825.4003,14,-0.857618,-0.576108,0.012844,0.933219,1.283311,237.522177,236.108626
284825.6003,15,-0.863796,-0.57893,0.011668,0.781295,1.207363,237.500296,236.169371
284825.8003,15,-0.860029,-0.55968,0.030599,0.781295,1.207354,237.48728,236.945209
284826.2003,15,-0.861413,-0.576467,0.02002,0.797672,1.239405,237.507797,236.209142
284826.4003,14,-0.861706,-0.573524,0.010425,0.825797,1.305593,237.548058,236.353558
284826.6003,15,-0.864699,-0.571338,0.011953,0.752502,1.217583,237.564412,236.545811
284826.8003,16,-0.880966,-0.566382,0.03735,0.764291,1.189304,237.587271,237.262636
284827.0003,15,-0.859574,-0.577619,-0.009584,0.764291,1.189277,237.621891,236.099565
284827.2003,15,-0.8637,-0.57039,0.017469,0.793673,1.260534,237.666099,236.559124
284827.4003,17,-0.858189,-0.573593,0.02579,0.758542,1.252837,237.725584,236.242191
284827.6003,16,-0.856976,-0.584646,0.007714,0.834269,1.252966,237.734756,235.697439
284827.8003,16,-0.873105,-0.557994,0.046695,0.834278,1.252934,237.781533,237.417724
